SEASON_1,PLAYER_ID,HOME_TEAM,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT,TIME_REMAINING
2021,201565,False,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,8-16 ft.,0.6799999999999999,6.645,11,2,8,11,1931
2021,203457,False,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.08,5.695,1,2,8,40,1960
2021,201565,False,True,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,8-16 ft.,0.7,6.655,11,2,9,27,2007
2021,1630167,False,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.03,5.825,0,2,10,0,2040
2021,202692,False,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,-0.16,8.305,25,2,10,47,2087
2021,1630193,False,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.11,6.245,4,2,11,16,2116
2021,203944,False,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.27,5.835,2,1,0,27,2187
2021,201565,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,0.6599999999999999,8.195,25,1,0,55,2215
2021,203944,False,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,8-16 ft.,0.02,6.755,9,1,1,31,2251
2021,203944,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,-0.74,8.145,24,1,1,59,2279
2021,201565,False,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,16-24 ft.,-1.17,6.965,16,1,2,36,2316
2021,203493,False,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-1.5699999999999998,7.675,24,1,3,5,2345
2021,201959,False,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.06,5.865,1,1,3,21,2361
2021,201959,False,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.0699999999999999,5.995,2,1,3,30,2370
2021,1629628,False,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,-0.0,5.775,0,1,3,32,2372
2021,1629628,False,False,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,Less Than 8 ft.,0.01,6.025,2,1,3,35,2375
2021,203493,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-1.06,8.065,25,1,3,42,2382
